epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5433,2.13554,6.06829,1.41509,0,0,0,0,1.901,6.09559,1.40728,1.79e-05,1.79e-05,1.79e-05
2,76.9102,1.80059,5.79374,1.25657,0,0,0,0,1.50604,5.84333,1.15518,3.68457e-05,3.68457e-05,3.68457e-05
3,115.74,1.52539,5.57831,1.10319,0,0,0,0,1.07202,5.58717,0.94879,5.50117e-05,5.50117e-05,5.50117e-05
4,154.577,1.35019,5.40965,1.0099,0,0,0,0,0.94107,5.44615,0.87348,7.2398e-05,7.2398e-05,7.2398e-05
5,194.867,1.27869,5.17782,0.96739,0,0,0,0,0.99227,5.32926,0.86924,8.90045e-05,8.90045e-05,8.90045e-05
6,233.963,1.21636,4.95976,0.94084,0,0,0,0,0.90179,5.18616,0.84458,0.000104831,0.000104831,0.000104831
7,273.021,1.17741,4.70811,0.92633,0.01505,0.15278,0.01701,0.01461,0.8253,5.01003,0.82681,0.000119878,0.000119878,0.000119878
8,312.117,1.18914,4.53412,0.92161,0.01974,0.56713,0.07812,0.05836,0.90776,4.70433,0.84613,0.000134146,0.000134146,0.000134146
9,351.242,1.12055,4.36709,0.92817,0.01916,0.71806,0.07556,0.05793,0.89879,4.50861,0.84712,0.000147633,0.000147633,0.000147633
10,390.384,1.13649,4.3371,0.92699,0.02345,0.80198,0.07178,0.05621,0.86274,4.29137,0.847,0.000147102,0.000147102,0.000147102
11,429.051,1.10676,4.20094,0.93307,0.02141,0.82407,0.06662,0.05249,0.85972,4.12975,0.85087,0.000143558,0.000143558,0.000143558
12,467.527,1.10063,4.08828,0.91496,0.02069,0.85185,0.07512,0.05702,0.94861,4.03731,0.86833,0.000140014,0.000140014,0.000140014
13,505.631,1.02418,3.97185,0.90734,0.02123,0.91667,0.08292,0.06489,0.91652,3.97611,0.86644,0.00013647,0.00013647,0.00013647
14,544.067,1.02231,3.8706,0.91655,0.02071,0.93981,0.08227,0.0667,0.84689,3.90892,0.85875,0.000132925,0.000132925,0.000132925
15,582.643,1.03303,3.83389,0.93086,0.03153,0.70774,0.09397,0.07574,0.85751,3.85461,0.86563,0.000129381,0.000129381,0.000129381
16,620.967,1.01883,3.68958,0.90869,0.1164,0.36759,0.11208,0.09296,0.81097,3.75992,0.85851,0.000125837,0.000125837,0.000125837
17,660.218,0.99725,3.63317,0.90477,0.12019,0.3603,0.12393,0.10077,0.8496,3.71021,0.86171,0.000122293,0.000122293,0.000122293
18,698.744,1.04806,3.64435,0.92693,0.06493,0.35879,0.10337,0.0831,0.86772,3.66421,0.86733,0.000118749,0.000118749,0.000118749
19,737.056,0.99132,3.63344,0.90458,0.0418,0.64051,0.1125,0.09274,0.84937,3.60785,0.86714,0.000115204,0.000115204,0.000115204
20,775.042,0.98353,3.52721,0.91078,0.02821,0.93519,0.11556,0.09841,0.73624,3.58804,0.8465,0.00011166,0.00011166,0.00011166
21,813.326,0.97117,3.49445,0.90192,0.02192,0.98148,0.12188,0.10408,0.7333,3.56355,0.8441,0.000108116,0.000108116,0.000108116
22,851.438,0.98959,3.45322,0.90096,0.03185,0.92963,0.11999,0.1002,0.77914,3.51554,0.84835,0.000104572,0.000104572,0.000104572
23,889.952,0.96715,3.45746,0.89907,0.04278,0.55879,0.11387,0.09448,0.79521,3.46505,0.85484,0.000101028,0.000101028,0.000101028
24,928.303,0.96214,3.4288,0.89406,0.04723,0.41724,0.1174,0.09747,0.81471,3.42536,0.86018,9.74834e-05,9.74834e-05,9.74834e-05
25,966.684,0.9618,3.29985,0.90649,0.0391,0.74028,0.13956,0.11653,0.79893,3.41742,0.85635,9.39392e-05,9.39392e-05,9.39392e-05
26,1005.7,0.93715,3.27875,0.89352,0.05173,0.62354,0.14262,0.12284,0.71451,3.38206,0.84537,9.0395e-05,9.0395e-05,9.0395e-05
